matricula,dia,montada
2702,1,1
2702,2,1
2702,3,1
2702,4,1
2702,5,1
2702,6,1
2702,7,1
2702,8,1
2703,1,1
2703,2,1
2703,3,1
2703,4,1
2703,5,1
2703,6,1
2703,7,1
2703,8,1
2704,1,1
2704,2,1
2704,3,1
2704,4,1
2704,5,1
2704,6,1
2704,7,1
2704,8,1
2708,1,1
2708,2,1
2708,3,1
2708,4,1
2708,5,1
2708,6,1
2708,7,1
2708,8,1
2709,1,1
2709,2,1
2709,3,1
2709,4,1
2709,5,1
2709,6,1
2709,7,1
2709,8,0
2719,1,1
2719,2,1
2719,3,1
2719,4,1
2719,5,1
2719,6,1
2719,7,1
2719,8,1
2720,1,1
2720,2,1
2720,3,1
2720,4,1
2720,5,1
2720,6,1
2720,7,1
2720,8,1
2721,1,1
2721,2,1
2721,3,1
2721,4,1
2721,5,1
2721,6,0
2721,7,0
2721,8,0
2722,1,1
2722,2,1
2722,3,1
2722,4,1
2722,5,1
2722,6,1
2722,7,1
2722,8,1
2723,1,0
2723,2,1
2723,3,1
2723,4,1
2723,5,1
2723,6,1
2723,7,1
2723,8,1
2727,1,1
2727,2,1
2727,3,1
2727,4,1
2727,5,1
2727,6,1
2727,7,1
2727,8,1
2728,1,1
2728,2,1
2728,3,1
2728,4,1
2728,5,1
2728,6,1
2728,7,1
2728,8,1
2729,1,1
2729,2,1
2729,3,1
2729,4,1
2729,5,1
2729,6,1
2729,7,1
2729,8,1
2731,1,1
2731,2,1
2731,3,1
2731,4,1
2731,5,1
2731,6,1
2731,7,1
2731,8,1
2733,1,1
2733,2,1
2733,3,1
2733,4,1
2733,5,1
2733,6,1
2733,7,1
2733,8,1
2736,1,1
2736,2,1
2736,3,1
2736,4,1
2736,5,1
2736,6,1
2736,7,1
2736,8,1
2737,1,1
2737,2,1
2737,3,1
2737,4,1
2737,5,1
2737,6,1
2737,7,1
2737,8,1
2738,1,1
2738,2,1
2738,3,1
2738,4,1
2738,5,1
2738,6,1
2738,7,1
2738,8,1
2739,1,1
2739,2,1
2739,3,1
2739,4,1
2739,5,1
2739,6,1
2739,7,1
2739,8,1
2740,1,1
2740,2,1
2740,3,1
2740,4,1
2740,5,1
2740,6,1
2740,7,1
2740,8,1
2741,1,1
2741,2,1
2741,3,1
2741,4,1
2741,5,1
2741,6,1
2741,7,1
2741,8,1
2742,1,1
2742,2,1
2742,3,1
2742,4,1
2742,5,1
2742,6,1
2742,7,1
2742,8,1
2743,1,1
2743,2,1
2743,3,1
2743,4,1
2743,5,1
2743,6,1
2743,7,1
2743,8,1
