matricula,numero_emergencia,pn,nomenclatura,tipo,data_abertura,data_cancelamento,periodo_no_mes_inicio,periodo_no_mes_fim
2731,396250012435,030-18200,MAIN WHEEL BRAKE,AIFP,2025-03-19,2025-07-07,2025-07-01,2025-07-06
2731,396250012631,244-18922,CABLE FIRE DET,AIFP,2025-04-28,2025-07-02,2025-07-01,2025-07-01
2728,685250006918,799-1,TRANSDUCER,AIFP,2025-05-22,2025-07-02,2025-07-01,2025-07-01
2708,694250001974,030-18200,MAIN WHEEL BRAKE,IPLR,2025-06-13,2025-07-02,2025-07-01,2025-07-01
2708,694250001975,030-18200,MAIN WHEEL BRAKE,IPLR,2025-06-13,2025-07-02,2025-07-01,2025-07-01
2731,396250014650,2655001-11,TUBE ASSEMBLY TORQUE,AIFP,2025-06-23,2025-07-02,2025-07-01,2025-07-01
2731,396250014651,2655001-10,TUBE ASSEMBLY TORQUE,AIFP,2025-06-23,2025-07-02,2025-07-01,2025-07-01
2740,313250016765,76-207-2,"FUEL LEVEL SENSOR,SP",AIFP,2025-06-30,2025-07-04,2025-07-01,2025-07-03
2709,329250018568,066-03300,BRAKE LINING,IPLR,2025-07-01,2025-07-18,2025-07-01,2025-07-17
2733,396250014840,MS20007-16,"BOLT,INTERNAL WRENCH",IPLR,2025-07-01,2025-07-07,2025-07-01,2025-07-06
2733,396250014839,MS20007-30,"BOLT,INTERNAL WRENCH",IPLR,2025-07-01,2025-07-07,2025-07-01,2025-07-06
2741,313250016794,3049038-03,"VALVE,COMPRESSOR BLE",IPLR,2025-07-03,2025-07-29,2025-07-03,2025-07-28
2733,396250014919,2C6-8,FUEL BOOST PUMP,IPLR,2025-07-03,2025-08-11,2025-07-03,2025-07-31
2733,396250014920,2600101-24,LINE ASSY,AIFP,2025-07-04,2025-07-31,2025-07-04,2025-07-30
2733,396250014921,2600101-25,LINE ASSY-TORQUE VEN,AIFP,2025-07-04,2025-07-31,2025-07-04,2025-07-30
2733,396250014922,S1587-7,KNOB,AIFP,2025-07-04,2025-07-31,2025-07-04,2025-07-30
2733,396250014923,S3309A0160-000D,HOSE AY,AIFP,2025-07-04,2025-07-31,2025-07-04,2025-07-30
2733,396250014927,AE3663163K0600,HOSE ASSY,AIFP,2025-07-04,2025-07-31,2025-07-04,2025-07-30
