data_snapshot,numero_ordem,part_number,categoria,destino,anv,status
2026-07-10,1,302-039-402,C,BABV,2741,Pendente
2026-07-10,2,302-039-402,C,BAMN,2740,Pendente
2026-07-10,3,065-0065-01,T,BANT,2719,Pendente
2026-07-10,4,NAS1739B4-6,C,BABE,2731,OK
2026-07-10,5,CR2248-4-4,C,BABE,2731,OK
2026-07-10,6,NAS1097AD6-5,C,BABE,2731,OK
2026-07-10,7,NAS1097AD6-4,C,BABE,2731,OK
2026-07-10,8,NAS1097AD5-4,C,BABE,2731,OK
2026-07-10,9,NAS1097AD5-7,C,BABE,2731,OK
2026-07-10,10,NAS1097AD4-3,C,BABE,2731,OK
2026-07-10,11,NAS1097AD3-7,C,BABE,2731,OK
2026-07-10,12,5934PAD-3,R,BABE,2739,Pendente
2026-07-10,13,068-02800,C,BANT,2722,Pendente
2026-07-10,14,RA068-02800,C,BANT,2722,Pendente
2026-07-10,15,MS21442-121,C,BABR,2709,Pendente
2026-07-10,16,523919,C,BABR,2709,Pendente
2026-07-10,17,065-0042-03,R,BANT,2722,OK
2026-07-10,18,AE3663163K0600,C,BANT,2728,Pendente
2026-07-10,19,MS21044N9,C,BANT,2728 e 2719,Pendente
2026-07-10,20,MS21044N9,C,BANT,2729,OK
2026-07-10,21,C145-00-46,C,BABR,2709,OK
2026-07-10,22,62800-001,T,BABR,2709,OK
2026-07-10,23,065-0042-15,R,BASM,2708,Pendente
2026-07-10,24,S3326-2,R,BAMN,*,Pendente
2026-07-10,25,MS29513-338,C,BANT,2719,Pendente
2026-07-10,26,030-18200,R,BAMN,2732,OK
2026-07-10,27,9864054-7,C,BAMN,2740,Pendente
2026-07-10,28,2606015-2,R,BABR,2720,Pendente
2026-07-10,29,76-207-12,C,BAMN,2740,Pendente
2026-07-10,30,MS20007-30,C,BABE,2733,OK
2026-07-10,31,MS20007-16,C,BABE,2733,Pendente
2026-07-10,32,B-5121,C,EEAR,2703,OK
2026-07-10,33,C668050-1104,C,BABR,2709,Pendente
2026-07-10,34,431-0101-01,C,BABR,2709,OK
2026-07-10,35,2650026-3,C,BABR,2709,OK
2026-07-10,36,S2300-12,C,BABR,2709,OK
2026-07-10,37,S2357-1,C,BABR,2709,OK
2026-07-10,38,2N6576,C,BABR,2709,OK
2026-07-10,39,22827-3,C,BABR,2709,OK
2026-07-10,40,068-02800,C,BABR,2709,Pendente
2026-07-10,41,2N6576,C,BABR,2709,OK
2026-07-10,42,060-0015-00,R,BABR,2709,Pendente
2026-07-10,43,066-4010-10,R,BABR,2709,OK
2026-07-10,44,011-01020-10,R,BAMN,2740,Pendente
2026-07-10,45,CM2990-G1,C,BABR,2709,Pendente
2026-07-10,46,C262023-0107,C,CLA,2723,OK
2026-07-10,47,2126001-1,C,BAMN,2737,Pendente
2026-07-10,48,2612035-1,C,BANT,2722,Pendente
2026-07-10,49,2641012-15,R,BANT,2728,Pendente
2026-07-10,50,DD2W,C,BACO,2743,Pendente
2026-07-10,51,S3100-581,C,BAMN,2737,Pendente
2026-07-10,52,GF5500-81,C,BAMN,2736,Pendente
2026-07-10,53,088-01132-0002,C,BANT,2728,Pendente
2026-07-10,54,2641012-14,R,BANT,2719,Pendente
2026-07-10,55,2641012-9,R,BANT,2719,Pendente
2026-07-10,56,52283,C,BANT,2719,Pendente
2026-07-10,57,AE3663162E0120,C,BANT,2723,Pendente
2026-07-10,58,EA-5175-52-CES,R,BANT,2728,OK
2026-07-10,59,S3100-630,C,BAMN,2737,Pendente
2026-07-10,60,2660001-107,C,BANT,2719,Pendente
