data_snapshot,os,pn,nomenclatura,unidade_solicitante,situacao,condicao,onde_se_encontra,tat_siloms
2026-07-10,3040249831,066-01141-5101,"RECEIVER-TRANSMITTER,RADIO (KT71)",PAMALS,REC,EM REPARO,LEAP,515.0
2026-07-10,3040250234,3034792,BOMBA DE COMBUSTÍVEL,PAMALS,REC,,BANT,499.0
2026-07-10,3040250248,452-0133,"BATTERY,NONRECHARGEABLE",BABR,REC,CONDENADO,VEE ONE,499.0
2026-07-10,3040250249,452-0133,"BATTERY,NONRECHARGEABLE",BAMN,REC,CONDENADO,VEE ONE,499.0
2026-07-10,3040250716,030-18200,MAIN WHEEL BRAKE,BABV,REC,EM REPARO,LEAP,477.0
2026-07-10,3040250717,030-18200,MAIN WHEEL BRAKE,BACO,OS concluída,REPARADO,,
2026-07-10,3040250718,030-18200,MAIN WHEEL BRAKE,BACO,OS concluída,REPARADO,,
2026-07-10,3040250719,060-0017-00,FLIGHT DIR HOR,PAMALS,REC,,BANT,477.0
2026-07-10,3040250720,060-0017-00,FLIGHT DIR HOR,BABV,OS concluída,REPARADO,,
2026-07-10,3040250721,060-0017-00,FLIGHT DIR HOR,BANT,OS concluída,REPARADO,,
2026-07-10,3040250722,066-01141-5101,"RECEIVER-TRANSMITTER,RADIO (KT71)",ALA 9,REC,EM REPARO,WILLIAM,477.0
2026-07-10,3040250723,066-01141-5101,"RECEIVER-TRANSMITTER,RADIO (KT71)",CLA,REC,,BABR,477.0
2026-07-10,3040250724,066-04035-1101,"DISPLAY UNIT,RADAR",PAMALS,REC,,BANT,477.0
2026-07-10,3040250725,066-3046-07,"CONTROL,INDICATOR",ALA 10,OS concluída,REPARADO,,
2026-07-10,3040250732,069-1025-25,"RECEIVER-TRANSMITTER,RADIO - KX165",PAMALS,REC,EM REPARO,WILLIAM,477.0
2026-07-10,3040250773,161-11700,INNER WHEEL HALF ASSY,EEAR,REC,,BACG,477.0
2026-07-10,3040250775,161-11700,INNER WHEEL HALF ASSY,BABE,OS concluída,CONDENADO,,
2026-07-10,3040250776,161-12800,WHEEL HALF ASSY-INNER,BABE,OS concluída,CONDENADO,,
2026-07-10,3040250778,161-12800,WHEEL HALF ASSY-INNER,BACG,OS concluída,REPARADO,,
2026-07-10,3040250780,162-11800,WHEEL HALF ASSY-OUTER,PAMALS,OS concluída,,,
2026-07-10,3040250781,162-11800,WHEEL HALF ASSY-OUTER,BACG,OS concluída,,,
2026-07-10,3040250782,2606012-1,INDICATOR-INTER-TURBINE TEMPERATURE,ALA 9,OS concluída,,,
2026-07-10,3040250789,2641012-14,TRUNNION ASSY-RH-MAIN GEAR,PAMASP,OS concluída,CONDENADO,,
2026-07-10,3040250790,2643031-7,"FORK ASSY,NOSE GEAR SPRING",BAMN,OS concluída,CONDENADO,,
2026-07-10,3040250791,2643090-1,SHIMMY DAMPENE,BANT,REC,EM REPARO,AV AERONAUTICA,477.0
2026-07-10,3040250792,2643090-1,SHIMMY DAMPENE,BAMN,REC,REPARADO,V1 PAMA-LS,477.0
