ESPECIALIDADE,NOMENCLATURA,PN,SN,AERONAVE,DISPONIBILIDADE,DATA,NUM_EMERG,OBS
AVIÔNICA,FILTRO DE AR DO SISTEMA DE VÁCUO,C294502-0201 (D9-18-1),*****,2727,400:00,15/04/2026,MATERIAL NO ESTOQUE LOCAL (03EA),QUANTIDADE: 01EA
AVIÔNICA,FILTRO DA VÁLVULA DE ALÍVIO DE VÁCUO,C482001-0202,*****,2727,400:00,15/04/2026,MATERIAL NO ESTOQUE LOCAL (03EA),QUANTIDADE: 01EA
HIDRÁULICA,IT LS 21-288 C-98 016,PR812 ou CS 1900,*****,2727,69:15,15/04/2026,AGD ATENDIMENTO,QUANTIDADE: 2CA
HIDRÁULICA,IT LS 21-288 C-98 016,AEROSHELL GREASE 17,*****,2727,69:15,15/04/2026,AGD ATENDIMENTO,QUANTIDADE: 3KG
HIDRÁULICA,CONJUNTO DE FREIO,PN 030-18200,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,SHIM BACK PLATE,PN 068-02800,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,"INSULATE, PISTON",PN 088-00100,*****,2727,O/C,O/C,,08 EA
HIDRÁULICA,PORCAS DO PARAFUSO DA RODA PRINCIPAL,PN 094-10400,*****,2727,O/C,O/C,,20 EA
HIDRÁULICA,PORCAS DO PARAFUSO DA RODA PRINCIPAL,PN 094-10400,*****,2727,O/C,O/C,,10 EA
HIDRÁULICA,PARAFUSO CUBO AUXILIAR,PN 103-20400,*****,2727,O/C,O/C,,10 EA
HIDRÁULICA,PARAFUSOS DA RODA PRINCIPAL,PN 103-22300,*****,2727,O/C,O/C,,20 EA
HIDRÁULICA,GREASE SEAL – RETENTOR,PN 154-03000,*****,2727,O/C,O/C,,04 EA
HIDRÁULICA,GREASE SEAL – RETENTOR,PN 154-03000,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,RING SNAP – ANEL FRENO,PN 155-00100,*****,2727,O/C,O/C,,04 EA
HIDRÁULICA,DISCO DE FREIO,PN 164-22201,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,CONE BEARING - ROLAMENTO,PN 214-00200,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,CONE BEARING – ROLAMENTO,PN 214-01400,*****,2727,O/C,O/C,,04 EA
HIDRÁULICA,PNEU PRINCIPAL,PN 850C86-2,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,PNEU AUXILIAR,PN C262003-0215,*****,2727,O/C,O/C,,01 EA
HIDRÁULICA,CÂMARA DE AR,PN C262023-0107,*****,2727,O/C,O/C,,02 EA
HIDRÁULICA,CÂMARA DE AR DO PNEU AUXILIAR,PN C262030-0101,*****,2727,O/C,O/C,,01 EA
HIDRÁULICA,PASTILHAS DE FRIO,PN DCN3-8823,*****,2727,O/C,O/C,,16 EA
HIDRÁULICA,CONTRA PINO GRANDE,PN MS24665-359,*****,2727,O/C,O/C,,04 EA
