CONTROLE VENCIMENTOS C-98 PAMALS – 2024,,,,,,,,
"2) O PRIMEIRO ITEM DA PLANILHA DEVE SER O MOTOR, COLOCANDO O SALDO DE HORAS PARA A PRÓXIMA INSP HSI OU TBO.",,,,,,,,
3) SOMENTE PREENCHER OS VENCIMENTOS QUE ENVOLVEM TROCA OBRIGATÓRIA (TBO). NÃO COLOCAR INSPEÇÕES REGULARES.,,,,,,,,
ESPECIALIDADE,"NOMENCLATURA DO ITEM",PN,SN,AERONAVE 2704,DISPONIBILIDADE,"DATA ESTIMADA DO VENCIMENTO",N° EMERGÊNCIA / N° PEDIDO NORMAL / N° PEDIDO DE TRANSFERÊNCIA,OBS
MOTOR,ENGINE PT6A-114A,3044000,PCE-PC1868 ,,209:05,,,HSI 1500:00
,"VALVE,HEAT,OIL FUEL",3032710,WA38508 ,,665:25,,,TBO 5.500H
,FUEL PUMP,702801-5,2223,,454:10,,,TBO 5.000H
,FUEL CONTROL UNIT,3244897-4,F66943 ,,949:30 OU 24M,,,I.C. 3.000H / 8 ANOS
,GOVERNOR PROPELLER,8210-002,20745763,,2172:10,,,TBO 5.500H
,"VALVE,BLEED",540-1407-4,4572,,491:15,,,TBO 5.500H
,BERÇO DO MOTOR,2651023-19,026,,3944:20,,,TBO 5.000H
,ANEL DO BERÇO,2651022-20-1,338,,495:30,,,TBO 5.000H
,HÉLICE,P7036368-01,960005,,3512:15 OU 34M,,,TBO 4.000H / 6 ANOS
,GOVERNADOR DE SOBREVELOCIDADE,D210507,17077146,,3339:45,,,TBO 6.500H
,MANG. COMBUSTÍVEL,AE3663724G0330,,,,,,TLV 10 ANOS
,MANG. FUEL HEATHER / BOMBA,3035302,,,,,,
,MANG. BOMBA / FCU,3033736,,,,,,
,MANG. COMB AQUECEDOR,AE3663726H0520,,,,,,
,MANG. DRENO DIVISOR FLUXO,AE3663724E0144,,,,,,
,MANG. IND. PRESSÃO ÓLEO,AE3663163E0230,,,,,,
,MANG. RETORNO ÓLEO,3033735,,,,,,
,MANG. TORQUÍMETRO – 02 EA,AE3663161E0113,,,,,,
,MANG. TORQUÍMETRO TREND – VENT,AE3663162E0120,,,,,,
,MANG. TORQUÍMETRO TREND – VENT,AE3663162E0120,,,,,,
,MANG. RADIADOR – SUPERIOR,AE3663163K0600,,,,,,
,MANG. RADIADOR – INFERIOR,AE3663163K0600,,,,,,
HIDRÁULICA,CONJ.TREM DE POUSO,DLS4-02314,,,,,,TLV 31.500 POUSOS
,AXLE-MAIN GEAR ESQ,2641011-5,710-5,,3931,,,TBO 5.000 POUSOS
,AXLE-MAIN GEAR DIR,2641011-5,B6H-010,,3931,,,TBO 5.000 POUSOS
,TREM AUXILIAR,2643100-206,619,,7144,,,TBO 10.000 POUSOS
