data_snapshot,om,pn,sn,matricula,parcial_tso,totais_tsn,pct_tbo_voada,tbo,condicao,motivo
2026-07-14,PAMASP,3104100-01,PC-E17371,2702,5139.25,10111.08,128.48,4000.0,OS,
2026-07-14,1/5 GAV,3104100-01,PC-E17377,2703,4117.25,9595.92,102.93,4000.0,APL,
2026-07-14,2 ETA,3044000,PC-EPC0431,2719,4262.5,13026.83,106.56,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC0499,2728,59.17,12824.92,1.48,4000.0,OS,
2026-07-14,DACTA II,3044000,PCE-PC0743,2742,,5494.75,18.72,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC0764,2734,4997.0,9207.17,124.93,4000.0,REPARA,
2026-07-14,7 ETA,3044000,PCE-PC0776,2740,3236.83,8227.0,80.92,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC0790,2732,2889.42,8088.58,72.24,4000.0,REPARA,
2026-07-14,1 ETA,3044000,PCE-PC0797,2733,4131.58,6634.08,103.29,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC0863,2702,0.0,16595.0,,4000.0,OS,
2026-07-14,1/15 GAV,3044000,PCE-PC1002,2727,,7503.17,0.3,4000.0,APL,
2026-07-14,7 ETA,3044000,PCE-PC1211,2738,,4449.08,0.57,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC1391,2728,,5035.08,3.57,4000.0,OS,
2026-07-14,7 ETA,3044000,PCE-PC1570,2737,292.5,4800.5,7.31,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC1659,2736,4479.58,4479.58,111.99,4000.0,OS,
2026-07-14,1 ETA,3044000,PCE-PC1666,2731,355.0,5428.83,8.88,4000.0,APL,
2026-07-14,PAMASP,3044000,PCE-PC1734,2721,267.17,5257.83,6.68,4000.0,OS,
2026-07-14,BACG,3044000,PCE-PC1783,2727,5200.0,5200.0,130.0,4000.0,RECOLH,315.0
2026-07-14,PAMASP,3044000,PCE-PC1801,2740,4832.42,4832.42,120.81,4000.0,OS,
2026-07-14,7 ETA,3044000,PCE-PC1832,2738,4449.92,4449.92,111.25,4000.0,RECOLH,
