data_snapshot,linha,situacao_consolidada,aprovado,tramite,valor,executora,pacote,para_contrato,para_motores
2026-07-09,13181,Atendido,SIM,ATENDIDO,350000.0,CELOG,A,SOB DEMANDA,SIM
2026-07-09,14161,Atendido,SIM,ATENDIDO,1000.0,CELOG,A,SOB DEMANDA,SIM
2026-07-09,15421,Atendido,SIM,ATENDIDO,324166.14,CELOG,A,SOB DEMANDA,Não
2026-07-09,15681,Atendido,SIM,ATENDIDO,207789.52,CELOG,A,HORA DE VOO,Não
2026-07-09,15961,Atendido,SIM,ATENDIDO,800000.0,CELOG,A,SOB DEMANDA,SIM
2026-07-09,15962,"Aprovado, aguardando atendimento",SIM,,1530656.62,CELOG,A,SOB DEMANDA,SIM
2026-07-09,15963,Atendido,SIM,ATENDIDO,72958.08,CELOG,A,SOB DEMANDA,SIM
2026-07-09,15964,Atendido,SIM,ATENDIDO,8916.0,CELOG,A,SOB DEMANDA,SIM
2026-07-09,15965,Atendido,SIM,ATENDIDO,425178.5,CELOG,A,SOB DEMANDA,SIM
2026-07-09,16001,Atendido,SIM,ATENDIDO,400000.0,CELOG,A,SOB DEMANDA,SIM
2026-07-09,16561,Atendido,SIM,ATENDIDO,1530656.62,CELOG,A,HORA DE VOO,Não
2026-07-09,17201,Atendido,SIM,ATENDIDO,41730.64,CABW,A,REQUISIÇÃO,Não
2026-07-09,19241,Não aprovado,NÃO,BLOQUEIO,5000000.0,CELOG,D,PARCELA FIXA,Não
2026-07-09,23080,Não aprovado,NÃO,,4064.54,CELOG,C,REQUISIÇÃO,Não
2026-07-09,23100,Não aprovado,NÃO,,4227.84,CABW,C,REQUISIÇÃO,Não
2026-07-09,23120,Não aprovado,NÃO,,9389.96,CABW,C,REQUISIÇÃO,Não
2026-07-09,23140,Não aprovado,NÃO,,1163.64,FMS,C,REQUISIÇÃO,Não
2026-07-09,23160,Não aprovado,NÃO,,7204.82,CABW,C,REQUISIÇÃO,Não
