data_snapshot,ano,numero_requisicao,pn,status_atual,valor_total,situacao_previsao,dias_atraso
2026-07-09,2025,LSS246013U8,9910333-1,Embarcado,1058.05,Sem data definida,
2026-07-09,2025,LSS268001U8,S2558-3,Empenho Aprovado,1623.32,Sem data definida,
2026-07-09,2025,LSS274002U8,2641018-26,Empenho Aprovado,8116.37,Sem data definida,
2026-07-09,2025,LSS232015U8,C-40323-83,Cancelado,2287.8,Cancelado,
2026-07-09,2025,LSS232016U8,3038589P24,Cancelado,1927.98,Cancelado,
2026-07-09,2025,LSS240002U8,B-4743,Embarcado,3410.3,Sem data definida,
2026-07-09,2025,LSS232010U8,A1635-117,Embarcado,49.0,Sem data definida,
2026-07-09,2025,LSS134005U8,A1635-117,Embarcado,1499.2,Sem data definida,
2026-07-09,2025,LSS023007U8,A1635-117,Embarcado,195.0,Sem data definida,
2026-07-09,2025,LSS076008U8,A-1635-136,Cancelado,270.0,Cancelado,
2026-07-09,2025,LSS056010U8,5-780-47-071,Aguardando Validação,0.0,Sem data definida,
2026-07-09,2025,LSS162013U8,S3346-1,Recebida na Comissão,214.76,Sem data definida,
2026-07-09,2025,LSS225044U8,A-1635-163,Recebida no Solicitante,131.64,Sem data definida,
2026-07-09,2025,LSS225045U8,A-1636-38,Recebida Parcialmente no Solicitant,10.68,Sem data definida,
2026-07-09,2025,LSS225046U8,A-2513-90,Recebida no Solicitante,215.1,Sem data definida,
2026-07-09,2025,LSS023022U8,A-4564,Recebida no Solicitante,201.0,Sem data definida,
2026-07-09,2025,LSS023005U8,A-1633-71,Embarcado,231.2,Sem data definida,
2026-07-09,2025,LSS085009U8,066-03300,Cancelado,4037.55,Cancelado,
2026-07-09,2025,LSS261017U8,799-1,Item Deserto,14415.2,Sem data definida,
2026-07-09,2025,LSS234167U8,B-4772,Recebida no Solicitante,37.24,Sem data definida,
2026-07-09,2025,LSS234168U8,B-5121,Embarcado,366.38,Sem data definida,
2026-07-09,2025,LSS234169U8,B-5406,Cancelado,1077.7,Cancelado,
2026-07-09,2025,LSS259001U8,2641011-5,Empenho Aprovado,3528.63,Sem data definida,
2026-07-09,2025,LSS237009U8,B-6707,Embarcado,164.7,Sem data definida,
2026-07-09,2025,LSS023021U8,A-3483,Embarcado,216.0,Sem data definida,
2026-07-09,2025,LSS027002U8,A-1635-121,Recebida Parcialmente no Solicitant,977.0,Sem data definida,
